X,Y,
,,
5,0,
5,0,
5,1,
4,2,
3,1,
3,1,
4,2,
4,2,
3,3,
3,3,
2,4,
2,5,
2,6,
2,7,
2,7,
3,6,
2,6,
2,6,
1,6,
1,6,
1,6,
1,7,
1,7,
2,8,
2,8,
3,7,
4,8,
3,7,
2,6,
3,7,
2,7,
2,8,
3,9,
2,9,
2,10,
2,10,
2,11,
3,11,
,,
5,0,
5,0,
4,0,
4,0,
3,0,
2,1,
2,2,
3,3,
4,4,
5,5,
5,6,
5,6,
5,7,
6,8,
6,9,
7,10,
7,11,
7,11,
7,11,
3,11,
,,
5,0,
5,0,
5,0,
5,0,
5,1,
4,2,
4,3,
4,3,
4,4,
4,5,
4,6,
4,6,
3,7,
2,7,
1,8,
0,9,
0,9,
0,10,
0,11,
0,11,
3,11,
,,
5,0,
5,0,
5,0,
5,0,
5,0,
5,0,
5,0,
4,0,
4,0,
3,0,
2,0,
1,1,
1,2,
0,3,
0,3,
0,4,
0,5,
0,6,
1,7,
2,8,
2,9,
2,9,
2,10,
2,11,
3,11,
,,
5,0,
5,0,
5,0,
5,0,
5,0,
5,0,
5,0,
5,0,
5,0,
5,0,
4,0,
4,0,
3,0,
2,0,
1,1,
1,2,
0,3,
0,3,
0,4,
0,5,
0,6,
1,7,
2,8,
2,9,
2,9,
2,10,
2,11,
3,11,
