X,Y,
,,
2,0,
2,0,
1,1,
0,1,
0,1,
1,1,
1,1,
0,2,
0,3,
0,4,
0,4,
0,4,
1,5,
0,6,
0,5,
1,5,
0,6,
1,6,
1,7,
1,8,
2,9,
2,10,
2,11,
2,11,
2,10,
2,10,
2,11,
2,11,
2,11,
2,11,
2,11,
2,10,
3,9,
4,9,
4,9,
4,10,
3,11,
,,
5,0,
5,1,
5,2,
5,2,
4,3,
4,3,
4,4,
4,5,
4,6,
4,6,
3,6,
2,7,
2,8,
2,9,
2,10,
3,11,
,,
0,0,
0,1,
0,2,
0,2,
0,3,
0,4,
0,5,
0,6,
1,7,
2,8,
2,9,
2,9,
2,10,
2,11,
2,11,
2,11,
2,11,
3,11,
,,
1,0,
1,1,
0,2,
0,2,
0,3,
0,4,
0,5,
0,6,
1,7,
2,8,
2,9,
2,10,
2,11,
2,11,
2,11,
2,11,
2,11,
2,11,
2,11,
2,11,
2,11,
2,11,
1,11,
1,11,
0,11,
0,11,
0,11,
1,11,
1,11,
2,11,
3,11,
,,
3,0,
2,1,
1,1,
0,2,
0,2,
0,3,
0,4,
0,5,
0,6,
1,7,
2,8,
2,9,
2,9,
2,10,
2,11,
2,11,
2,11,
3,11,
