Id,Start,Goal,Path Num,Steps,Time,
2,D,W,1,1599,7.629,
1,A,W,1,1599,7.644,
3,P,W,1,1599,7.784,
4,C,W,1,1599,7.816,
5,R,W,1,1599,7.816,
1,1,W,1,1599,4.945,
4,4,W,1,1599,5.397,
5,5,W,1,1599,5.875,
1,1,W,1,33,0.0420001,
1,1,W,1,73,6.821,
1,A,W,1,32,15.143,
3,3,W,1,1599,6,
2,2,W,1,1599,5.487,
4,4,W,1,486,0.745,
4,4,W,1,73,7.955,
4,C,W,1,31,16.401,
5,5,W,1,99,0.099,
5,5,W,1,69,7.682,
5,R,W,1,530,16.611,
2,2,W,1,224,0.248,
2,2,W,1,107,15.385,
2,D,W,1,187,26.048,
4,4,W,2,15,0.303,
4,4,W,2,83,22.332,
4,C,W,2,8,22.973,
5,5,W,2,108,2.467,
5,5,W,2,20,12.865,
5,R,W,2,547,31.543,
2,2,W,2,177,4.837,
2,2,W,2,32,22.204,
2,D,W,2,84,27.698,
4,4,W,3,34,1.222,
4,4,W,3,73,10.977,
4,C,W,3,193,15.69,
3,3,W,1,116,0.141,
3,3,W,1,228,48.064,
3,P,W,1,69,57.618,
1,1,W,2,1599,37.556,
5,5,W,3,19,1.12,
5,5,W,3,22,18.63,
5,R,W,3,134,22.281,
3,3,W,2,129,3.916,
3,3,W,2,23,7.083,
3,P,W,2,246,14.426,
4,4,W,4,57,1.7,
4,4,W,4,28,16.483,
4,C,W,4,89,20.243,
1,1,W,2,8,0.0910001,
1,1,W,2,33,54.921,
1,A,W,2,290,67.569,
3,3,W,3,13,0.194,
3,3,W,3,15,3,
3,P,W,3,350,21.799,
5,5,W,4,17,0.327,
5,5,W,4,59,24.046,
5,R,W,4,92,27.455,
2,2,W,3,59,1.466,
2,2,W,3,55,45.393,
2,D,W,3,85,48.625,
2,2,W,4,76,1.323,
2,2,W,4,21,4.315,
2,D,W,4,213,12.711,
5,5,W,5,12,0.53,
5,5,W,5,51,14.235,
5,R,W,5,277,24.288,
1,1,W,3,278,6.314,
1,1,W,3,62,30.108,
1,A,W,3,131,41.991,
2,2,W,5,17,0.328,
2,2,W,5,14,6.189,
2,D,W,5,307,12.04,
4,4,W,5,60,1.143,
4,4,W,5,65,38.321,
4,C,W,5,520,58.943,
1,1,W,4,178,3.295,
1,1,W,4,24,23.749,
1,A,W,4,60,25.159,
3,3,W,4,13,0.185,
3,3,W,4,107,55.184,
3,P,W,4,274,63.459,
1,1,W,5,39,0.806,
1,1,W,5,25,15.005,
1,A,W,5,147,17.857,
3,3,W,5,13,0.184,
3,3,W,5,34,21.546,
3,P,W,5,21,22.297,
ALL,NA,NA,NA,NA,179.712,
