Id,Start,Goal,Path Num,Steps,Time,
1,C,H,1,380,1.498,
4,A,W,1,748,2.964,
1,C,H,2,43,1.498,
2,P,W,1,1097,4.353,
1,C,H,3,55,1.934,
5,R,W,1,1428,5.554,
3,D,W,1,1625,6.178,
2,P,W,2,47,2.137,
5,R,W,2,48,2.418,
2,P,W,3,53,2.418,
4,A,W,2,103,6.24,
5,R,W,3,40,2.153,
4,A,W,3,35,1.264,
3,D,W,2,90,4.368,
5,R,W,4,38,1.841,
3,D,W,3,40,1.669,
2,P,W,4,72,3.401,
4,A,W,4,57,2.792,
3,D,W,4,33,1.763,
5,R,W,5,73,4.134,
2,P,W,5,95,4.804,
3,D,W,5,86,3.541,
4,A,W,5,94,4.415,
1,C,H,4,205,12.839,
1,C,H,5,165,1.95,
ALL,NA,NA,NA,NA,19.859,
